attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,attributes.Good For.latenight,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.By Appointment Only,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,categories,attributes.Waiter Service,hours.Monday.open,name,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Dietary Restrictions.kosher,type,attributes.Caters,attributes.Ambience.intimate,latitude,attributes.Good For.dinner,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.Hair Types Specialized In.perms,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale
False,,,11:00,,,,,11:00,False,False,none,False,,False,5UmKMjUEUNdYWqANhGckJw,False,,11:00,False,"['Fast Food', 'Restaurants']",False,11:00,Mr Hoagie,False,False,,,,,,1,False,False,,,7,,PA,True,21:00,False,False,True,"4734 Lebanon Church Rd
Dravosburg, PA 15034",21:00,,False,,,False,,,False,False,21:00,,True,Dravosburg,,,3.5,,business,False,False,40.3543266,False,,-79.9007057,21:00,,21:00,,True,False,,,,,False,,False,,,False,,11:00,average,,casual,,True,[],,False,,False
,,True,,,,,,,,False,,,,,UsFtqoBl7naz8AVUBZMjQQ,,,,,['Nightlife'],,,Clancy's Pub,,,,,,,,1,,,,,5,,PA,True,,,,,"202 McClure St
Dravosburg, PA 15034",,,,,,,,,,,,,True,Dravosburg,,,3.0,,business,,,40.3505527,,,-79.8868138,,,,,,,,,,,,,,,,,,,,,,,True,[],,,,
,,,,,,,,,,,,,,,cE27W9VPgO88Qxe4ol6y_g,,,,,"['Active Life', 'Mini Golf', 'Golf']",,,Cool Springs Golf Center,,,,,,,,,,,,,5,,PA,,,,,,"1530 Hamilton Rd
Bethel Park, PA 15234",,,,,,,,,,,,,False,Bethel Park,,,2.5,,business,,,40.3541155,,,-80.0146597,,,,,True,,,,,,,,,,,,,,,,,,,[],,,,
True,,False,10:00,,,,,10:00,False,False,full_bar,False,,False,mVHrayjG3uZ_RLHkLj-AMg,False,,10:00,False,"['Bars', 'American (New)', 'Nightlife', 'Lounges', 'Restaurants']",True,,Emil's Lounge,False,False,,,,,,2,False,False,,False,26,,PA,True,20:00,True,False,True,"414 Hawkins Ave
Braddock, PA 15104",19:00,,False,,,False,10:00,,False,False,19:00,no,True,Braddock,,,4.5,,business,True,False,40.4088301,False,False,-79.8662107,,,19:00,16:00,True,False,,,False,,True,,False,,,,,10:00,average,no,casual,,True,[],,False,,False
,,,11:00,,,,,11:00,,,,,,False,mYSpR_SLPgUVymYOvTQd_Q,,,,,"['Active Life', 'Golf']",,,Grand View Golf Club,False,,,,,,,,,False,,,3,,PA,True,20:00,,False,,"1000 Clubhouse Dr
Braddock, PA 15104",20:00,,,,,True,11:00,,,,20:00,,True,Braddock,,,5.0,,business,,,40.4034049,,,-79.8557821,,,,20:00,True,False,10:00,,,,,15:00,,,,,,11:00,,,,,True,[],,,,
False,,True,11:00,,,,,11:00,False,True,full_bar,False,,True,KayYbHCt-RkbGcPdGOThNg,False,,11:00,False,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']",True,11:00,Alexion's Bar & Grill,False,False,,,,,,1,False,False,,False,23,,PA,True,02:00,False,False,True,"141 Hawthorne St
Greentree
Carnegie, PA 15106",02:00,,False,,,False,12:00,,False,False,02:00,free,True,Carnegie,,,4.0,,business,False,False,40.4154859,True,False,-80.0675491,02:00,,02:00,02:00,False,False,12:00,,False,,True,22:00,True,,,,,11:00,loud,outdoor,casual,,True,['Greentree'],,False,,False
,,,07:30,,,,,07:30,,,,,,,b12U9TFESStdy7CsTtcOeg,,,07:30,,"['Auto Repair', 'Automotive', 'Tires']",,07:30,Flynn's Tire & Auto Service,,,,,,,,,,,,,9,,PA,True,18:00,,,,"718A Hope Hollow Rd
Carnegie, PA 15106",18:00,,,,,,07:30,,,,18:00,,True,Carnegie,,,2.5,,business,,,40.394588,,,-80.0844539,18:00,,18:00,16:00,,,,,,,,,,,,,,07:30,,,,,,[],,,,
,,,,,,,,,,,,,,,Sktj1eHQFuVa-M4bgnEh8g,,,,,"['Active Life', 'Mini Golf']",,,Forsythe Miniature Golf & Snacks,,,,,,,,,,,,,4,,PA,,,,,,"920 Forsythe Rd
Carnegie
Carnegie, PA 15106",,,,,,,,,,,,,False,Carnegie,,,4.0,,business,,,40.4054039,,,-80.0762665,,,,,True,,,,,,,,,,,,,,,,,,,['Carnegie'],,,,
,,,,,,,,,,,,,,,3ZVKmuK2l7uXPE6lXY4Dbg,,,,,"['Roofing', 'Home Services', 'Decks & Railing', 'Contractors']",,,Quaker State Construction,,,,,,,,,,,,,3,,PA,,,,,,"8 Logan St
Carnegie
Carnegie, PA 15106",,,,,,,,,,,,,True,Carnegie,,,2.5,,business,,,40.4062805,,,-80.0903905,,,,,,,,,,,,,,,,,,,,,,,,['Carnegie'],,,,
,,,,,,,,,,,,,,,QoDa50dc7g62xciFygXB9w,,,,,"['Veterinarians', 'Pets']",,,Greentree Animal Clinic,,,,,,,,,,,,,7,,PA,,,,,,"2080 Greentree Rd
Pittsburgh, PA 15220",,,,,,,,,,,,,True,Pittsburgh,,,4.0,,business,,,40.3922071,,,-80.0691338,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
