,count,POS_Tag,word,PMI_Negative,SOW,PMI_Positive,tag
12,18,VBN,clotted,-2.01016911157,0.139800244943,-1.87036886663,1
14,2654,VBG,hanging,-1.57395182928,-0.576622029936,-2.15057385922,1
18,53,RB,comically,-0.983202063974,-1.94266191525,-2.92586397922,1
20,3,VBN,localized,-2.01016911157,0.139800244943,-1.87036886663,1
29,1,RB,acurately,-0.425206610853,0.425206610853,,1
30,5,JJ,igual,-2.74713470574,1.13980024494,-1.6073344608,1
31,1,VBN,mooded,,-1.28540636591,-1.28540636591,1
32,48,VBG,refunding,-0.486607155517,-5.38376171111,-5.87036886663,1
33,11,VBN,caned,-1.07728330743,-1.66755467711,-2.74483798455,1
38,2,VBG,proffering,-1.42520661085,-0.860199755057,-2.28540636591,1
59,1458,VBG,screaming,-1.33321082677,-1.05045955545,-2.38367038222,1
61,1,JJ,unrefridgerated,,-1.28540636591,-1.28540636591,1
64,17,VBD,wooded,-1.92770695138,0.014269362859,-1.91343758852,1
66,36,VBG,grueling,-1.50766877104,-0.699735082864,-2.20740385391,1
71,2,JJ,mexamerican,-1.42520661085,-0.860199755057,-2.28540636591,1
94,2,JJ,accusatorial,-0.425206610853,0.425206610853,,1
105,21,VBN,snuggled,-3.23256153291,1.72476274566,-1.50779878725,1
112,3,VBG,amazzing,-2.01016911157,0.139800244943,-1.87036886663,1
115,1,VBG,lobving,-0.425206610853,0.425206610853,,1
116,29,VBG,designing,-1.96125951109,0.0657996634991,-1.89545984759,1
118,2,JJ,numeral,-0.425206610853,0.425206610853,,1
128,10,VBN,brainwashed,-1.74713470574,-0.275237254336,-2.02237196008,1
133,6,RB,perfunctorily,-1.01016911157,-1.86019975506,-2.87036886663,1
134,1,VBN,mentoned,-0.425206610853,0.425206610853,,1
139,93,VBN,affiliated,-1.4408034659,-0.829172859437,-2.26997632534,1
144,26,VBG,uplifting,-2.54068382827,0.876765839109,-1.66391798916,1
146,9,VBG,deferring,-1.27320351741,-1.18212784994,-2.45533136735,1
164,1,VBN,overtasked,-0.425206610853,0.425206610853,,1
169,14,JJ,orangish,-0.910633438023,-2.18212784994,-3.09276128797,1
170,2,VB,repurpose,-1.42520661085,-0.860199755057,-2.28540636591,1
173,1,VBN,dethrowned,-0.425206610853,0.425206610853,,1
174,1,VBG,microbrewing,,-1.28540636591,-1.28540636591,1
182,1,RB,trickily,,-1.28540636591,-1.28540636591,1
187,1,VBN,wecomed,,-1.28540636591,-1.28540636591,1
188,140,JJ,inevitable,-1.88206428583,-0.0568916660622,-1.93895595189,1
191,1,VBG,reasserting,-0.425206610853,0.425206610853,,1
200,7,JJ,unpersonable,-0.910633438023,-2.18212784994,-3.09276128797,1
204,5,RB,exuberantly,-2.74713470574,1.13980024494,-1.6073344608,1
207,2,VBG,friendsgiving,-1.42520661085,-0.860199755057,-2.28540636591,1
208,1,VBG,poistening,-0.425206610853,0.425206610853,,1
217,7,RB,morally,-3.23256153291,1.72476274566,-1.50779878725,1
223,1,JJ,vietanmese,,-1.28540636591,-1.28540636591,1
228,1,RB,expressively,,-1.28540636591,-1.28540636591,1
239,2,VBG,embarressing,-1.42520661085,-0.860199755057,-2.28540636591,1
244,1,VBN,touristed,,-1.28540636591,-1.28540636591,1
252,1,RB,traven,,-1.28540636591,-1.28540636591,1
255,1,VBN,shirked,,-1.28540636591,-1.28540636591,1
256,234,JJ,copious,-1.78777669024,-0.208123058477,-1.99589974872,1
267,1,VBG,climaxing,,-1.28540636591,-1.28540636591,1
268,1,VBD,locaded,,-1.28540636591,-1.28540636591,1
275,5,VBN,assimilated,-1.74713470574,-0.275237254336,-2.02237196008,1
282,24576,JJ,wrong,-1.31962542958,-1.07970335146,-2.39932878104,1
288,1,VBG,sentencing,,-1.28540636591,-1.28540636591,1
290,16,VBN,domed,-2.10327851597,0.277303768693,-1.82597474727,1
292,25,RB,colorfully,-2.74713470574,1.13980024494,-1.6073344608,1
295,1,VBG,semething,,-1.28540636591,-1.28540636591,1
297,1,VBN,menioned,,-1.28540636591,-1.28540636591,1
315,3,RB,snugly,-2.01016911157,0.139800244943,-1.87036886663,1
318,1468,VBD,welcomed,-2.48541124506,0.804489938135,-1.68092130692,1
321,3,RB,aromatically,,-1.28540636591,-1.28540636591,1
329,1,RB,unreasonablely,-0.425206610853,0.425206610853,,1
336,26,RB,wickedly,-2.31829140694,0.580372836329,-1.73791857061,1
341,3266,VBG,bringing,-1.63908406778,-0.460096587312,-2.09918065509,1
346,2,JJ,intruduced,,-1.28540636591,-1.28540636591,1
354,1,VBN,statisified,-0.425206610853,0.425206610853,,1
375,1,RB,spreadably,-0.425206610853,0.425206610853,,1
383,5,VBG,whacking,-2.74713470574,1.13980024494,-1.6073344608,1
397,2,JJ,prevous,-1.42520661085,-0.860199755057,-2.28540636591,1
407,1,RB,diffenently,,-1.28540636591,-1.28540636591,1
417,1,RB,ditzilly,-0.425206610853,0.425206610853,,1
423,15,RB,scrumptiously,,-1.28540636591,-1.28540636591,1
439,4,VBG,pumpking,,-1.28540636591,-1.28540636591,1
440,1,VBN,diminshed,-0.425206610853,0.425206610853,,1
449,5043,RB,elsewhere,-0.87118394094,-2.32519541302,-3.19637935396,1
455,1,RB,unworldly,,-1.28540636591,-1.28540636591,1
458,1,VBN,scamed,-0.425206610853,0.425206610853,,1
462,79,RB,sickeningly,-0.921632436972,-2.14399272106,-3.06562515803,1
472,3,RB,ineffectively,-2.01016911157,0.139800244943,-1.87036886663,1
477,35,VBN,lightened,-2.5544896278,0.894687747106,-1.65980188069,1
482,1,JJ,applebeese,,-1.28540636591,-1.28540636591,1
494,429,VBN,renovated,-2.14767263532,0.341434106113,-1.80623852921,1
499,13345,VBN,needed,-1.43551355666,-0.839658976616,-2.27517253327,1
503,1,JJ,understan,-0.425206610853,0.425206610853,,1
514,2,JJ,heretic,-1.42520661085,-0.860199755057,-2.28540636591,1
522,8,VBN,mutilated,-1.10327851597,-1.59716534922,-2.70044386519,1
526,1,RB,emencely,,-1.28540636591,-1.28540636591,1
527,202,RB,positively,-1.85459940311,-0.100333758781,-1.95493316189,1
528,2,VBG,condesending,-0.425206610853,0.425206610853,,1
529,5,VBN,ahmed,-2.74713470574,1.13980024494,-1.6073344608,1
541,105,VBN,exclaimed,-1.30656211435,-1.1081272685,-2.41468938286,1
545,9342,VBG,feeling,-1.67734852046,-0.393496439008,-2.07084495947,1
546,1,RB,saucily,,-1.28540636591,-1.28540636591,1
556,2,VBG,consenting,-1.42520661085,-0.860199755057,-2.28540636591,1
587,26,VBG,diminishing,-1.12564632899,-1.53827166017,-2.66391798916,1
588,5,JJ,cinematic,-1.74713470574,-0.275237254336,-2.02237196008,1
596,10,VBN,resonated,-1.16217220502,-1.44516225578,-2.6073344608,1
599,3,JJ,hospitible,-2.01016911157,0.139800244943,-1.87036886663,1
611,1,RB,immedately,-0.425206610853,0.425206610853,,1
613,196,VBG,paneling,-2.18193545984,0.390343706593,-1.79159175325,1
617,9737,VBG,saying,-1.19166028073,-1.372542271,-2.56420255173,1
618,2,VBN,misinterpeted,-1.42520661085,-0.860199755057,-2.28540636591,1
626,69,VBN,padded,-1.62684047202,-0.481688131803,-2.10852860383,1
630,892,VBN,tempted,-1.93148576188,0.0201051785519,-1.91138058333,1
633,16,VBD,hounded,-1.10327851597,-1.59716534922,-2.70044386519,1
636,3,VBN,bullshitted,-1.01016911157,-1.86019975506,-2.87036886663,1
643,46,JJ,norcal,-2.36380606619,0.642300585472,-1.72150548072,1
648,1,RB,regrettfully,-0.425206610853,0.425206610853,,1
650,2,VBG,hoeing,,-1.28540636591,-1.28540636591,1
667,501,RB,altogether,-1.32241104149,-1.07368112249,-2.39609216398,1
673,5,VBG,droning,-2.74713470574,1.13980024494,-1.6073344608,1
674,1,JJ,staphylococcal,-0.425206610853,0.425206610853,,1
677,6266,RB,nicely,-2.08433935484,0.249673014942,-1.8346663399,1
689,1,VBG,plinking,,-1.28540636591,-1.28540636591,1
693,1,JJ,insomniacian,-0.425206610853,0.425206610853,,1
702,1,JJ,foodielicious,,-1.28540636591,-1.28540636591,1
707,1,VBN,fireroasted,-0.425206610853,0.425206610853,,1
717,15,VBN,dissed,-1.74713470574,-0.275237254336,-2.02237196008,1
728,7,VBN,cordoned,-1.64759903219,-0.445162255778,-2.09276128797,1
729,37,RB,epically,-1.72776938087,-0.307658732028,-2.0354281129,1
734,1,JJ,romtantic,-0.425206610853,0.425206610853,,1
739,6,VBG,lapping,-3.01016911157,1.46172833983,-1.54844077174,1
740,42,JJ,superficial,-1.49559593874,-0.722696231307,-2.21829217005,1
752,1,JJ,friendlyish,,-1.28540636591,-1.28540636591,1
757,23,RB,ravenously,-1.77884356547,-0.222769834442,-2.00161339991,1
759,2,VBG,levitating,,-1.28540636591,-1.28540636591,1
762,1,JJ,finfish,,-1.28540636591,-1.28540636591,1
767,5,RB,fearlessly,-1.16217220502,-1.44516225578,-2.6073344608,1
769,1,VBN,minused,,-1.28540636591,-1.28540636591,1
770,1,JJ,forgetabble,-0.425206610853,0.425206610853,,1
774,1,RB,limitedly,-0.425206610853,0.425206610853,,1
779,1,JJ,orgasmonic,,-1.28540636591,-1.28540636591,1
786,64,VBG,humming,-1.84024411013,-0.123234160891,-1.96347827102,1
805,90824,JJ,much,-1.51742675662,-0.68130186346,-2.19872862008,1
810,7,JJ,unleavened,-2.23256153291,0.46172833983,-1.77083319308,1
814,3,VBG,toning,,-1.28540636591,-1.28540636591,1
815,108,JJ,obese,-1.24935677545,-1.23634824094,-2.4857050164,1
816,1,VBN,sensationalized,,-1.28540636591,-1.28540636591,1
822,1,JJ,opressive,,-1.28540636591,-1.28540636591,1
840,198,RB,professionally,-1.98847404047,0.107134056023,-1.88133998445,1
841,4,VBN,misconstrued,-2.42520661085,0.724762745664,-1.70044386519,1
862,171,VBN,conditioned,-2.17063378377,0.37426549858,-1.79636828519,1
876,2,RB,inventively,,-1.28540636591,-1.28540636591,1
877,62,JJ,skinnylicious,-1.9199713026,0.00229672119294,-1.91767458141,1
881,5,VBN,mummified,-0.74713470574,-2.86019975506,-3.6073344608,1
888,1,VBG,ivisiting,,-1.28540636591,-1.28540636591,1
912,2,VBG,yelpmazing,,-1.28540636591,-1.28540636591,1
915,2,VBN,petaled,,-1.28540636591,-1.28540636591,1
917,1,RB,delishisly,,-1.28540636591,-1.28540636591,1
920,1,JJ,luxurous,,-1.28540636591,-1.28540636591,1
924,24,JJ,academic,-2.68824101669,1.0657996635,-1.62244135319,1
931,2117,JJ,corporate,-1.04674741016,-1.75313477745,-2.79988218761,1
932,8,VBG,massaging,-0.840244110132,-2.44516225578,-3.28540636591,1
935,1,JJ,provincal,,-1.28540636591,-1.28540636591,1
940,631,RB,appropriately,-1.79006486683,-0.204380656792,-1.99444552362,1
943,2,RB,unflinchingly,-1.42520661085,-0.860199755057,-2.28540636591,1
944,1,JJ,unbloated,,-1.28540636591,-1.28540636591,1
952,3,RB,immeadiately,-2.01016911157,0.139800244943,-1.87036886663,1
964,5,VBN,replated,-1.16217220502,-1.44516225578,-2.6073344608,1
983,20,JJ,municipal,,-1.28540636591,-1.28540636591,1
984,1,RB,anwhere,-0.425206610853,0.425206610853,,1
989,8,RB,caramelly,,-1.28540636591,-1.28540636591,1
990,28,RB,unequivocally,-1.77312991427,-0.232168532444,-2.00529844672,1
993,117,JJ,indicative,-1.22948213998,-1.28243275574,-2.51191489572,1
997,1,VBG,drippiing,-0.425206610853,0.425206610853,,1
1001,1,VBG,sleuthing,-0.425206610853,0.425206610853,,1
1003,1,VBG,whinning,,-1.28540636591,-1.28540636591,1
1012,25,RB,unabashedly,-2.74713470574,1.13980024494,-1.6073344608,1
1014,1,JJ,550cal,-0.425206610853,0.425206610853,,1
1026,1,JJ,gooble,-0.425206610853,0.425206610853,,1
1027,2,VBG,contiplating,,-1.28540636591,-1.28540636591,1
1036,1,VBG,flurrying,,-1.28540636591,-1.28540636591,1
1043,38,RB,completly,-1.28081670152,-1.16505433659,-2.4458710381,1
1045,1,JJ,chloraseptic,-0.425206610853,0.425206610853,,1
1060,78,VBG,starring,-1.21875573339,-1.30765873203,-2.52641446541,1
1070,1,RB,immanently,-0.425206610853,0.425206610853,,1
1071,5,JJ,anomalous,-1.74713470574,-0.275237254336,-2.02237196008,1
1075,1,JJ,uninitated,,-1.28540636591,-1.28540636591,1
1077,5,JJ,fusian,-2.74713470574,1.13980024494,-1.6073344608,1
1078,1,VBN,disapopinted,-0.425206610853,0.425206610853,,1
1091,1,RB,extreeemly,-0.425206610853,0.425206610853,,1
1103,12,VBN,despised,-2.01016911157,0.139800244943,-1.87036886663,1
1108,42,VBD,raped,-1.01016911157,-1.86019975506,-2.87036886663,1
1112,20,VBG,grasping,-1.5772097043,-0.570693137862,-2.14790284216,1
