word,PMI_Positive,PMI_Negative,SOW,count,POS_Tag,tag
clotted,-1.010169112,-2.870368867,1.860199755,18,VBN,1
hanging,-1.290374104,-2.434151584,1.14377748,2654,VBG,1
comically,-2.065664224,-1.843401819,-0.222262405,53,RB,1
localized,-1.010169112,-2.870368867,1.860199755,3,VBN,1
acurately,,-1.285406366,1.285406366,1,RB,1
igual,-0.747134706,-3.607334461,2.860199755,5,JJ,1
mooded,-0.425206611,,-0.425206611,1,VBN,1
refunding,-5.010169112,-1.346806911,-3.663362201,48,VBG,1
caned,-1.884638229,-1.937483062,0.052844833,11,VBN,1
proffering,-1.425206611,-2.285406366,0.860199755,2,VBG,1
screaming,-1.523470627,-2.193410582,0.669939955,1458,VBG,1
unrefridgerated,-0.425206611,,-0.425206611,1,JJ,1
wooded,-1.053237833,-2.787906706,1.734668873,17,VBD,1
grueling,-1.347204099,-2.367868526,1.020664427,36,VBG,1
mexamerican,-1.425206611,-2.285406366,0.860199755,2,JJ,1
accusatorial,,-1.285406366,1.285406366,2,JJ,1
snuggled,-0.647599032,-4.092761288,3.445162256,21,VBN,1
amazzing,-1.010169112,-2.870368867,1.860199755,3,VBG,1
lobving,,-1.285406366,1.285406366,1,VBG,1
designing,-1.035260093,-2.821459266,1.786199174,29,VBG,1
numeral,,-1.285406366,1.285406366,2,JJ,1
brainwashed,-1.162172205,-2.607334461,1.445162256,10,VBN,1
perfunctorily,-2.010169112,-1.870368867,-0.139800245,6,RB,1
mentoned,,-1.285406366,1.285406366,1,VBN,1
affiliated,-1.40977657,-2.301003221,0.891226651,93,VBN,1
uplifting,-0.803718234,-3.400883583,2.597165349,26,VBG,1
deferring,-1.595131612,-2.133403272,0.53827166,9,VBG,1
overtasked,,-1.285406366,1.285406366,1,VBN,1
orangish,-2.232561533,-1.770833193,-0.46172834,14,JJ,1
repurpose,-1.425206611,-2.285406366,0.860199755,2,VB,1
dethrowned,,-1.285406366,1.285406366,1,VBN,1
microbrewing,-0.425206611,,-0.425206611,1,VBG,1
trickily,-0.425206611,,-0.425206611,1,RB,1
wecomed,-0.425206611,,-0.425206611,1,VBN,1
inevitable,-1.078756197,-2.742264041,1.663507844,140,JJ,1
reasserting,,-1.285406366,1.285406366,1,VBG,1
unpersonable,-2.232561533,-1.770833193,-0.46172834,7,JJ,1
exuberantly,-0.747134706,-3.607334461,2.860199755,5,RB,1
friendsgiving,-1.425206611,-2.285406366,0.860199755,2,VBG,1
poistening,,-1.285406366,1.285406366,1,VBG,1
morally,-0.647599032,-4.092761288,3.445162256,7,RB,1
vietanmese,-0.425206611,,-0.425206611,1,JJ,1
expressively,-0.425206611,,-0.425206611,1,RB,1
embarressing,-1.425206611,-2.285406366,0.860199755,2,VBG,1
touristed,-0.425206611,,-0.425206611,1,VBN,1
traven,-0.425206611,,-0.425206611,1,RB,1
shirked,-0.425206611,,-0.425206611,1,VBN,1
copious,-1.135699994,-2.647976445,1.512276452,234,JJ,1
climaxing,-0.425206611,,-0.425206611,1,VBG,1
locaded,-0.425206611,,-0.425206611,1,VBD,1
assimilated,-1.162172205,-2.607334461,1.445162256,5,VBN,1
wrong,-1.539129026,-2.179825185,0.640696159,24576,JJ,1
sentencing,-0.425206611,,-0.425206611,1,VBG,1
domed,-0.965774992,-2.963478271,1.997703279,16,VBN,1
colorfully,-0.747134706,-3.607334461,2.860199755,25,RB,1
semething,-0.425206611,,-0.425206611,1,VBG,1
menioned,-0.425206611,,-0.425206611,1,VBN,1
snugly,-1.010169112,-2.870368867,1.860199755,3,RB,1
welcomed,-0.820721552,-3.345611,2.524889448,1468,VBD,1
aromatically,-0.425206611,,-0.425206611,3,RB,1
unreasonablely,,-1.285406366,1.285406366,1,RB,1
wickedly,-0.877718816,-3.178491162,2.300772346,26,RB,1
bringing,-1.2389809,-2.499283823,1.260302923,3266,VBG,1
intruduced,-0.425206611,,-0.425206611,2,JJ,1
statisified,,-1.285406366,1.285406366,1,VBN,1
spreadably,,-1.285406366,1.285406366,1,RB,1
whacking,-0.747134706,-3.607334461,2.860199755,5,VBG,1
prevous,-1.425206611,-2.285406366,0.860199755,2,JJ,1
diffenently,-0.425206611,,-0.425206611,1,RB,1
ditzilly,,-1.285406366,1.285406366,1,RB,1
scrumptiously,-0.425206611,,-0.425206611,15,RB,1
pumpking,-0.425206611,,-0.425206611,4,VBG,1
diminshed,,-1.285406366,1.285406366,1,VBN,1
