count,word
2,peans/nuts
4,"considered,"
8,vang
2,raining
1,vinaloo
9,cake)
11,woods
1,eyeball...
1,spiders
6,hanging
14,woody
1,northsight
2,"ordered),"
1,sevens
1,"collards,"
3,canes
6,ear...things
2,pleasures....it
16,chatter
15,course...
1,sticky-glumps
5,originality
4,enchelada
2,cook::
2,"specifics,"
2,"drink/dessert,"
4,4:
6,"caramel,"
1,bocks
11,"artsy,"
1,manufactured...
1,battles
2,starter..
3,franklin's
5,effer
13,"wood,"
1,wood/
1,patio.we
1,price-change
4,"selects,"
2,-hard-
2,options...but
41,screaming
1,kasperski
1,"bock,"
3,reviews....i
23,broiler
1,rstrnt
10,wooden
1,"thinly,"
255,wednesday
17,*food
6,broiled
3,bottom-shelf
3,app:
4,crotch
6,"blended,a"
17,comp....went
1,330ml
2,hint...are
9,"seven,"
3,"week,seems"
89,(except
2,sooty
11,tom's
2,27)
2,"naw,"
2,daal
6,complainers
1,two...and
1,"1997,"
6,$1.50)
1,square's
8,"$1.50,"
2,francesca
3,"entree's,"
2,"chin,"
94,server's
2,(papaya
2,(basque
6,",as"
1,stock)
57,errors
4,"san,"
3,"chuckie,"
5,"nature,"
5,centimeter
235,cooking
2,nature)
5,$65.00
4,spoon....
1,brocolis
5,hat:(
3,kid)
1,"veggies,noodles,"
1,"fellas,"
54,"kid,"
2,$$$:
4,shocks
1,"kormas,"
3,"fiberglass,"
2,"whatevers,"
8,dish..
3,mcdonalds;
2,folks...
1,denominations
4,masuman
12,"animals,"
1,"complainer,"
178,china
1,(salads)
104,wagyu
1,dressing...along
1,um...no...the
7,now...the
165,"bbq,"
13,"shock,"
2,suit...
2145,kids
1,coke..
1,list....
3,service..anyways
12,robata
4,cookin'
3,controversy
2,"flattened,"
1,lmk
1,"mondays-saturdays,"
6,entrees..
5,"olives,charge"
3,hassle.the
32,"error,"
3,rebel
9,"circumstance,"
147,golden
7,projection
8,$10...without
5,chilli's
3,justin's
10,"cops,"
1,circumstance;
8,"population,"
10,"popular,"
2,fettuccini..
2,overstocks
1,"gpa,"
2,dna
4,gondolas
1,jambalaya:
2,abbreviations
6,us....we
6,"(lorenzo),"
1,olives.it
1,dnt
2,plate...which
1155,music
44,therefore
1,unfortunately
1,"chower,"
2,flavor...service
2,2015;
1,"hdtv's,"
2,)that
5,hu
4,2015:
1,mehhhh...
1,($15/person
1,chance...in
5,amazing....i
3,gumbys
5,yahoo
1,felipes
2,b/w
3,fili'b's
1,"nelly,"
4,"4/21,"
2,pi$$ed
4,wednesday.i
5,echelon
11,(filet
4,"cobbler,"
54,circumstances
4,(many
1,"blass,"
1,intake
4,blockbuster
1,kerr's
6,100.00
1,"volcanoes,"
2,"liability,"
1,locker
3,"hermosillo,"
13,"room),"
3,busyness
2,"mishap),"
5,catch)
1,l&l's
1,$122)
4,"catch,"
2,"$122,"
1,wang
22,pints
1,grass-fed
1,kaprow
6,strip'
6,places..
1,papillote
1,"geesh,"
1,domes
1,2015)
76,want
6,strip)
5,pinto
9,$100/person
8,okla.
47,absolute
2,f@#k
7,mcmuffin
3,"lettuce),"
1,2+hours
2,disappointed....
3,"password,"
74,travel
1,vegas....even
3,barstools
1,topings
1,service/waitress
2,2015.
1,"turon,"
6,words...mediocre
5,runner...
4,caldo
1,"$22/person,"
2,"cooker,"
1,omg...who
4,(angie)
1,dinosaurs
59,wrong
1,calidad
2,tournedos)
1,sadly...the
15,"pint,"
2,boba/tapioca
2,"bests,"
2,time/money
2,"toping,"
3,'new
1,visit.and
7,bagels(which
12,18th
1,hey-nanu-nanu
7,"stirfry,"
2,porsches
2,romper
2,rawhide
2,smashers
2,623
5,"3oz.,"
3,($6.95)
15,"effect,"
4,flavor...says
1,is....so
3,effect)
36,"voucher,"
4,steak...(i
3,kuey
13,"bald,"
1,duece
1,effect:
2,fir
2,"lopsided,"
1,aabg
1,diced/cubed
65,fit
5,agaves
11,bringing
159,fix
1,"6:28,"
1,delicious/flavorful
1,swanky/
1,charlotteans
27,fig
1,"oldie,"
6,fuddruckers
30,fin
6,fil
16,"welcome,"
2,welcome)
1,that'......
2,arincini
1,"sidekick,"
11,spot...
12,ingredients...
3,twits
1,"panisse,"
21,effects
6,"spago,"
3,hehehehe...
3,$12.49
1,sixteen
2,"nosh,"
1,"alrighty,"
2,bread...which
1,fine..maybe
2,(point
9,"celebrating,"
1,disconnection
3,tendender
3,"curries),"
4,arrow
3,restaurants'
10,restaurants)
7,arroz
1,"decor,nice"
2,"strat,"
5,development
1,"mansger,"
1,voyeur
17,"correct,"
8,allah
1,allan
17,phoenicians
3,parasites
14,impossible
12,veracruz
2,dammmmmn
1,uhh..
24,"self,"
8,oprah
6,acct:
5,smirk
1,"kheer,"
5,freeze
2,enviroment
25,mason
13,4'
1,self;
3,twice--once
3,dinginess
1,smart-ass
1,"apetizer,"
6,mbfg.....unless
2,"grapefruit,"
3,strata
3,$550
1,arrives...cmon
3,"phoenician,"
4,"$55,"
2,corrects
3,brulee/custard
1,occasionally)
23,estimate
3,ugghhh
17,"occasionally,"
1,cheeto
7,chlorine
5,jugs
1,nasty;
2,$13-14
3,$13-15
4,cacophony-pizza
1,"branches,"
4,ministries
3,"(alexandra,"
2,dentures
9,"nasty,"
1,"nakama,"
1,loudness
2,-third-
2,everything..
9,"understaffed,"
10,stripe
3,ireland
1,peachy
4,palces
1,($3.95)
1,"meadows,"
1,48hrs
1,worries;
3,fruit)
23,filibertos
145,kfc
7,chevron
23,"worries,"
10,"reward,"
11,"asap,"
42,olds
2,"shampoo,"
23363,service
2,review**
13,ms.wiffty
9,zinfandel
100,reuben
3,needed
55,master
1,restaurant.....
5,review*:
4,critter
4,"molcajetes,"
8,remote
5,carlo...we
2,olvies
14,"11am,"
14,"applebees,"
1,viet)
1,....its
2,applebees'
5,-too
4,slice's
3,meltdowns
1,"d.o.p.,"
4,karaange
5,doreen
1,[deep
1,blue/brown/shiny
2,"quirky,"
1,"nozzles,"
3,cuvee
1,old;
2,anniversaries
1,"badge),"
4,idly
1,tar-tar
1,restaurant....i
1,"..so,"
6,&c
2,sheen
11,old)
4,twinkies
606,feeling
136,"old,"
1,idli
72,lulu's
13,"heads,"
12,"'large,'"
3,spectrum
2,line....
4,"rooney's!,"
6,quesarito
4,9:45pm...took
5,pomp
1,-portions
7,"1st,"
348,dozen
1,sadly....i
4,wholesome
32,courier
2,perspective...when
1,thing....we
1,dinner......salads
2,&l
1,mirage...i
6,"pour),"
6,(reservations
4,cost/benefit
9,"sh*t,"
5,sh*t.
1,cheesiest)
5,fazoli's)
1,"cheesiest,"
2,crocs
4,long:
1,spanish-villa
5,'bowl'
1,scottsdale...i
1,sugarcane
3,"reloaded,"
3,what....they
1,week.....losing
1,factedote
2,*was*
3,long)
1,croutins
494,mouth
5,rice/noodles
140,"long,"
6,"taste-wise,"
1,omelette....i
4,"food,temperatures"
2,mexicantown...they
47,singer
8,thurs-sat
1,vegas...until
1,store/school
5,"pots,"
4,yupha's
1,racer)
6,ratatouille
1,maja
1,"breath,oh"
3,everythin
10,tech
1,"ache,"
19,scream
2,"affair,"
1,"variable,"
8,saying
1,"ponds,"
3,post-work
2,trompo
2,"sneezing,"
4,schism
2,italian/pasta
41,fennel
1,ulcer
4,"cubes,"
2,cheaply
3,papavero
7,madeira
98,orleans
3,special....
2,mug...
14,schwarma
1,"tsingtao,"
2,bonuses
1,recommended:
12,rico
2,lube
1,statehouse
7,happy...and
20,rick
25,rich
1,networking
3,other...
4,appetizers/main
4678,rice
1,"sights,"
3464,plate
1,"immigrants,"
1,temp/cold
146,"frankly,"
5,waaaaaay
7,plato
1,chada
6,7-11
2,"minimal,"
2,coldada
3,tomaso's
1,bulk-made
4,joint....
6,stuffed...
5,altogether
3,toungue
1,ferraros
1,"um...yes,"
2,once...but
6,phad
1,corn..
3,special...i
1,cheryl's
3,(once/year)
1,nicely
2,day...but
2,boarder
2,rescues
111,pretzel
7,patch
2,hot'n
4,bar......0
1,montezuma's
