count,word
33,raining
3,refridgerated
0,finessed
2,cussed
1,absentminded
1,sacastic
1,returtning
0,sunburning
1,unexpectant
1,3specially
7,railing
1,conjuring
11,comically
1,beaufifully
0,regularize
2,crooned
1,simultiously
0,resrarched
8,eligible
1,yumalicious
1,geating
1,convently
0,mooded
0,superficially
1,refunding
4,caned
0,starrrrrving
1,demoted
0,portentous
4,flicking
0,singlehandledly
0,makeing
2,prefacing
1,touristed
0,rashly
1,preceeded
1,defintly
1,relable
0,scrumpdiddlyumptious
0,ohmygodheavenly
0,brolied
0,energistic
0,malfunctioned
207,screaming
1,intruduced
0,unrefridgerated
0,scrumdilicious
1,iusually
0,uzbekistan
5,differentiated
1,nonexpanding
1,uttering
6,grueling
0,increble
1,ridiclious
1,techinally
0,unblurred
37,piling
0,pasqual
2,caged
33,stereotypical
4,debuting
3,monopolized
224,commented
2937,asian
1,seeasonal
1,infringed
697,tired
1,punchable
0,bearingly
764,hanging
1,splendiferous
1,unlusted
0,sodelicious
3,underregarded
4622,second
0,advantaged
2,mosied
1,fragrantly
1,sustaining
1,consenting
0,shrugging
1,sailed
45,scraped
0,loathing
0,cobbling
1,rewritten
1,dangled
2,unlisted
149,forgetting
0,provolonecheese
0,mazzing
50,contributed
0,povencal
1,dicovered
1,mindbendingly
5,negated
0,redelivered
28,increasing
4,hallucinating
0,admiral
1,housewarming
1,misjudged
1,crouch
1,cisual
0,vetting
1,quietened
0,intentioned
25,interrupting
1,brainwashed
0,unseemly
0,derricious
0,friendlyish
74,reported
4,ching
2,perfunctorily
0,sliiightly
0,auctioned
22,affiliated
0,defenetelly
1,extened
1,deodorize
12,sloshed
1,deferring
0,snotted
0,runonsentencesbedamned
0,accomdoating
0,ellse
0,undoudtedly
1,retoxifying
1,heavingly
144,appropriately
48,magically
0,seattlecentral
681,explained
2,orangish
10,psychological
1,hobble
0,microbrewing
0,unanswered
1,panasian
1,overrpriced
0,flurrying
1,nause8ingly
21,disinterested
0,cherishing
20,cheating
1,kettled
0,wecomed
0,upleveled
12,occupying
1,ghettofabulous
171,therefore
8,violently
5,heralded
0,famaily
0,visably
5,expiring
6,cynical
4,standardized
1,forementioned
133,successful
1,unpersonable
0,whirling
1,somehting
1,acosted
1,faceted
1,reversible
0,friendsgiving
10,tying
1,consciencious
201,encountered
0,comforatble
1,excrable
1,tiured
2,fluidly
0,patying
0,unsatsfued
3,unaffiliated
0,phenomitastic
0,embued
60,famed
1,plunged
1,earlyish
6,espcially
1,reallyreally
0,untampered
0,expressively
1,diffenetly
0,sittting
1,unjust
30,increasingly
1,peppering
1,embarressing
0,eeleven
280,reviewing
0,nithing
0,defeniatly
0,thirtysomething
0,interupting
5,groaned
0,traven
1,shirked
82,copious
1,vingerary
0,caterered
0,atomically
0,ciely
27,dared
16,preferable
2,reconfirmed
1,fresshly
1,tripling
0,dreeenking
1,arived
1,sketchtastic
1,assimilated
3,sippy
1,canvasing
0,elven
3448,wrong
1,steared
0,unbelivably
1,ungracefully
10,destined
0,sentencing
1,sarcatic
1,divebombing
1,deelicious
1,thecheese
0,anassuming
16,choking
45,effective
1,procing
0,120cal
0,emplied
1,presiding
37,discontinued
5,sickening
7,luring
2,beeping
4,oppossed
1,marinanted
3,democratic
3,nonsensical
0,bristly
0,stockpiled
0,accompied
0,neese
0,priding
2,puling
1,aromatically
7,whizzing
1,substitued
0,quantly
2,enquiring
1,soothingly
3,apoligized
1,activating
0,upsclale
0,bemusedly
0,pridefully
1,conned
2,ubelievably
0,urial
865,bringing
0,lifeling
0,eactually
1,delivishly
1,waled
0,hidded
1,reprised
13,distinguishing
1,endeavoring
2,insubstantial
0,prooooobably
2,accentuating
2,easiet
17,admirable
0,stantial
0,unresistable
1,inoculated
0,fanfarkingtastic
0,sympathatic
1,zoning
0,paisly
27,slicing
0,conisdering
0,completellly
1,supernal
0,thankfiully
0,colsed
3,internally
2,mimicking
0,undeveloped
1,orddered
39,saddened
3,structural
1,perticularly
51,represents
0,weekened
1,probiotic
0,lillian
0,superdelectable
0,contagous
2,noticable
0,derishious
0,wedsing
4,simplified
0,devowered
0,prevous
0,apetizing
0,boombastic
23,preceded
19,financial
0,reputedly
0,seving
0,unfilling
3,oohed
1,propertly
0,diffenently
0,juicily
1,depositing
1,reentering
34,substantially
0,obessed
1,agreeded
18,blinded
5,trending
4,retuning
0,novemberfest
6,scrumptiously
3,unlabeled
8,excepting
1,persisted
0,seaking
1,parkiing
27,flooded
0,sevayian
0,everuything
0,outburst
0,intervewing
1,gandered
1,stamping
0,tohic
1,prattled
227,assured
0,unibrue
1,chillaxing
11,threatened
0,asianized
1,duiring
3,encountering
0,timiing
0,tinkled
806,returning
1,obstructing
13,universally
0,senzual
0,fabulious
0,perferctly
0,unstrained
9,exposing
1,extremwly
11,sickeningly
31,diabetic
0,ehat
0,hazardly
0,redonkulous
1,shelved
49,shipped
1,electronicish
16,eatting
0,divorcing
3,wobbling
1,symbolize
1,resetting
0,enamoring
0,applebeese
16,shopped
6,winded
0,inculded
0,sallied
0,shoppen
0,lishcious
0,nohting
1,masted
0,shoping
0,disaspointed
0,6philly
1,omniously
4,outstandingly
16,touting
3085,needed
565,listed
1,slurrily
1495,recent
0,recreationally
0,deconstruced
0,recommnded
1,geeting
0,quily
1,purebred
25,predictably
4,fibrous
15,frowned
2,consitantly
0,cominging
1,potting
22,rectified
8,oddest
2,mutilated
4,defaulted
1,unreachable
0,hipstered
0,emencely
46,positively
0,enlish
946,showed
0,fantatsic
1,wackiest
3,morphed
1,gelified
1,walloped
7,verging
0,aaammazing
5,idle
10,exclaimed
0,unbeleiveable
0,oooong
0,pheening
0,outfuckingstanding
1,resaonable
1521,feeling
0,forfeited
4,groaning
1,atmoaphere
2,smoothered
7,untrained
1,ioved
1,underbite
0,dozed
0,hellaciously
1,peobably
1,constricted
0,frequeneted
3,runned
0,foundational
0,huveous
29,regretting
10,60th
0,pheasantly
0,statred
35,eagerly
2,toothed
54,causing
63,amusing
9,soldiered
5,agressive
0,comprimising
1,pestoral
0,lrt2013_metro_max_panel_card_web_english
0,welly
18,committing
255,shall
2,miscalculated
0,pelting
0,anglicanized
5,diminishing
7,looming
6,disjointed
1,lyoneese
2,conceded
2,resonated
0,retrogressed
1,reaaaaaallly
1,signalled
1,mastercrafted
0,arly
0,snooping
3,qual
4,emailing
1,menioned
4,singed
1,pretensious
33829,pretty
0,marven
24712,came
2,roadtripping
1674,saying
1,tincluding
2,larded
9,departing
0,reclined
4,minimalistic
19,echoing
2,nominated
0,professionly
18,padded
1,soluble
1,supposively
1,whittling
0,gramazing
43,participate
4,hounded
1,bullshitted
0,armosphere
11,shuffling
1,surrly
0,sinbelian
0,shoppping
0,everrthing
1,adventureous
0,onderful
6,foolishly
1,auththentic
0,underbaked
1,hoeing
0,mexincan
0,salivatingly
0,redifined
1,spucing
3,stammered
0,electletic
0,perpetrating
0,authnetic
2,sniping
1,definatelly
50,altogether
1,prciing
1,deeeefinately
52,spilling
20,blanched
1,slutting
0,marniere
0,avenged
382,eventually
0,apreciated
0,commingling
0,orgininal
1,precluding
0,unuasual
30,clarified
1,inadvertantly
1,appretiated
1,indsutrial
2,bled
0,foodielicious
1,skully
0,fabuchic
13,resigned
0,fantantic
1,satisifying
29,pressured
1,venezuelian
1,shirted
0,boneable
1286,opened
1,accussing
0,inspiringly
0,romanize
3,conceptual
3,cordoned
8,epically
1,easten
13,nationwide
712,rolled
0,invigorated
