count,word
2,fawn
2,"considered,"
4,"agnolotti,"
1,"mild),"
2,"campari,"
1,greasy--defeats
1,taojitos
1,vinaloo
1,*best*
1,piazza's
2,"kansas,"
48,woods
1,t.....but
4,hanging
15,woody
1,northsight
1,squeezage)
1,"tokens,"
6,"collards,"
10,canes
2,portions..which
2,tipsy)
2,polka--spicy
5,cake-
10,course...
2,hordes
16,pager
1,"dome,"
290,"cake,"
5,originality
3,trivia...they
8,opener
3,enchelada
1,caramel)
1,patriarchy
1,caramel-
34,"caramel,"
2,them...and
2,rule..
1,glares
2,wood)
6,"spider,"
32,"wood,"
9,pepper)
5,fattiness
1,"flavorful,and"
8,rawhide
1,omakase...each
4,-sambar
1,screaming:
29,screaming
1,"bock,"
2,revelers
1,kimchee..
1,liaisons
1,"doodle,"
8,broiler
19,wooden
2,stellar...
118,"pepper,"
192,wednesday
6,*food
12,broiled
9,app:
2,chimchurri
1,re-locating
1,"(ginger,"
2,$25/pp
1,south-west
3,"cane,"
2,caramelo
3,"seven,"
2,bbqs
1,fuera
1,chimichuri
45,(except
26,roscoe's
16,tom's
1,table/booths
3,preface
1,scrapes
1,bbq~
1,pittsburgh-ite
1,",crispy"
1,frappe's
2,"$1.50,"
3,275
3,",az"
4,francesca
7,"chin,"
1,marnier....cannot
3,"grandson,"
1,2011...
3,(top)
1,uality
2,pepper;
6,errors
1,hunkin'
9,"nature,"
2,burgers...all
1,kid:
193,cooking
2,hp
2,brocolii
4,"circumference,"
1,(polish)
1,outfielders
1,kid)
4,time...but
41,"kid,"
4,succumb
9,baterd
1,"ipod,"
7,dish..
2,"supplements,"
5,bbq:
1,"deadhead,"
1,away--this
1,steroids)
1,"fdc,"
11,"shortbread,"
248,china
1,zat
1,portion...the
204,wagyu
9,bbq)
2,house--and
2,bbq/
19,-they
147,"bbq,"
5,"shock,"
1,-genova
1299,kids
2,day/night
1,list....
1,"decent,the"
38,robata
2,cookin'
2,three-
1,lemon/butter/cream
1,pepper...maybe
2,in.....love
1,entrees..
3,spotty
3,"error,"
1,"satiation,"
1,"circumstance,"
120,golden
3,cobblers
1,topography
1,(pepperidge
18,projection
3,ta's
3,"branzino,"
1,"bread...buttery,"
1,i.could've
1,chilli's
3,popular;
1,pato
2,justin's
1,"deluca,"
2,(cliff
2,"cops,"
1,stern
11,"population,"
2,"popular,"
4,popular)
1,golder
1,slightest......but
4,popular*
3,caipirinhas
1,litlte
