count,word
0,inconspciously
0,overaged
3,narcotic
0,horded
5,clotted
0,vomitous
0,inexperinced
1,localized
0,gustatively
22,pigged
3,snowing
0,uhmaaazzing
0,diining
2,igual
0,skimpified
0,alphabetic
5,shaving
3,shielding
89,regional
0,sursprisingly
0,thouroghly
42,tantalizing
122,leisurely
1,hibernating
0,experimentally
0,barraged
6,wooded
0,1hous
0,reformatted
0,yachting
3,caramely
0,fritted
0,jarringly
135,broiled
0,identicial
5,wavered
5,flavorable
0,unoffered
0,santanbrewing
227,specially
9,nigh
4,cordially
2,licious
0,accusatorial
0,armish
0,charted
7,snuggled
0,haughtily
4,lucious
0,invisable
0,promosied
6,relieving
0,amazzing
0,itspecial
0,lobving
5,designing
0,numeral
1,pioneering
0,constently
0,mentoned
0,forgetabble
0,terriable
2,hypnotizing
0,fearly
5,natured
2,granting
0,grimacing
0,coordinatiing
0,overpoured
0,chking
1,symmetrical
0,ubiqutous
444,golden
0,acurately
0,overtasked
0,deafing
0,shabbily
0,blahed
0,vulcanized
0,reasserting
2,mired
0,relaxingly
0,scolted
2,exuberantly
0,misnumbered
0,slaped
0,alcoholically
0,gashed
91,tastefully
0,underedible
2,morally
0,enthuastic
0,fagalicious
1,cajoled
4,leaped
1,yummily
0,aplogize
162,organized
0,scamed
0,ungraceful
0,dishearteningly
0,respose
0,queuethere
1,counseling
0,ridicious
2,reimagined
31,preferably
71,clubbing
0,retooled
0,contribuited
0,outragious
4,dignified
0,backpedaled
0,spated
0,mustarded
0,shored
0,thermodynamic
153,swing
3,minimized
0,cowarded
102,modest
0,constisted
0,earrrrrrly
0,deplaning
0,intruiged
13,colorfully
0,misgiven
0,emetic
0,carged
0,fleetingly
0,supposely
0,orally
0,truned
0,disusted
0,systemically
0,overheared
1,snugly
533,welcomed
59,dreamed
0,assing
0,hapily
0,hopilicious
0,itneeded
0,unreasonablely
3,admirably
10,wickedly
2,majestically
1,crispily
0,extreeemly
0,gilbertonian
1,exeptionally
0,pooing
0,reentered
0,unsatsified
278,easier
0,concrentrated
0,thired
0,intereseted
0,spiritied
0,throned
780,braised
1,suprize
0,glutted
0,unpaletable
2,whacking
8,towered
1,noticably
0,flamboyantly
23,customizable
404,addicted
0,gelly
2,blushed
0,food_and_cooking
3,whic
0,concaved
3,cathedral
5,emulsified
0,ditzilly
0,snarfing
0,20indian
1,convienently
49,rented
0,proceesed
0,unexpectable
0,diminshed
0,mindedly
0,overacting
0,muscling
18,crowned
301,enormous
0,auditioned
0,whinging
0,georgous
3,muuuuch
0,diculous
0,bated
5,competed
105,tempting
22,reserving
0,unflappable
0,shacking
0,relatviely
3,flitting
0,aitting
0,airly
3,reintroduced
8,playfully
88,spinning
0,samplesize
0,clamorous
0,palced
0,untasteable
0,mimiced
0,anythwhere
0,ralphing
0,defaulting
1,yassous
0,theatrically
0,overseased
13,chugging
0,quikly
0,glorfied
0,fiully
205,ranging
0,rummaged
0,wizzing
0,unprofessinal
9,memorably
0,innatentive
0,rampagingly
3,surpisingly
0,lunged
0,dehiderated
0,condesending
0,ahmed
0,wasntwortheating
3,occassional
3,omnivorous
5,skimmed
0,apoplized
1,unintended
0,guesstimating
0,lipsticked
0,antagonistic
8,paddled
0,irrating
0,epecurian
0,extreamely
0,shumting
0,nagged
0,connelly
3543,recommended
349,defiantly
5,responsibly
5,milled
0,annyong
0,unmindful
2,vexing
0,lookied
0,hushing
15,retaining
0,hospitible
0,subsidize
0,thrusted
1,regreted
0,chocolicious
0,undeli
0,immedately
0,accepable
0,purged
10,alluring
0,unattened
0,loitered
0,upteenth
0,unmanaged
233,tempted
0,overwhipped
0,lazing
3,pickeled
610,appreciated
0,regurgitated
2035,rich
0,regrettfully
37,heartily
0,laoded
0,cousing
0,thecomplimentary
0,certainlly
0,inoperative
0,umbilical
0,kittenish
0,colorable
3,rugged
9,blistered
0,annnnyway
1,droning
0,staphylococcal
0,stoically
9,autistic
1338,nicely
0,sligtly
892,dipping
1,lurched
18,stunningly
6,flanked
0,biven
0,dismissively
0,fattly
0,nortorious
0,driced
0,insomniacian
2,hammed
19,twinkling
0,innevitable
0,reprieved
2,nocturnal
0,yelpified
56470,best
0,pricking
7,oceanic
0,rwading
0,restaurant_rating
0,prasied
62,indecisive
0,romtantic
14,schooled
2,lapping
0,trufthfully
0,inextricably
11,accessed
1,angling
1,patented
31,sacrificing
0,unfriended
1,outsanding
1,meting
0,avere
15,adapted
2,southeastern
0,darian
0,diappointing
0,obivious
0,naploenian
0,outraggous
0,fondled
0,unprotected
9,gleaming
1,retelling
0,comptely
0,slaming
0,indistinctive
0,threating
0,overthinking
0,puzzlingly
0,ammaaaazing
0,elsewere
2,unleavened
2,sqeezed
330,eastern
0,flamingly
0,chily
0,arrved
0,allotting
0,ecofriendly
0,harangued
0,hindering
1,erst
0,swinged
10,uplifting
0,pittburghed
1,impoverished
0,invting
0,enjoyied
58,professionally
0,oogly
2,misconstrued
0,cerrtainly
0,laided
11,flooding
0,unempathetic
0,innattentive
0,actiing
0,unnattentive
0,srpawling
0,groveling
0,spected
22,conditioned
0,obeying
0,issuch
1030,upscale
0,choloesteral
14,brined
2,babied
0,intelligable
7,skinnylicious
0,flushable
0,wizzed
0,fiegured
0,ecelectic
0,screechingly
1096,toasted
236,european
4,supped
11,effortlessly
0,equalizing
0,embelished
0,completetly
0,sudenly
0,confusedly
0,raiing
1,midsized
6,maximizing
9,stupendous
0,disseminated
0,barcoded
7,academic
0,realtively
1,gynormous
1,fittest
0,annyoing
0,havening
25,rotated
2,decieving
0,bradded
0,expeptional
10,exclaiming
0,torching
2,idian
0,immeadiately
0,hilbilly
0,ridciulous
0,inpresed
3,dungenous
0,sulked
0,teminal
0,noothing
110,casually
0,iived
6,otherworldly
0,firmed
12,harmoniously
0,upselled
0,tapering
10,pescatarian
0,reming
0,dirextly
14,marinating
77,sundried
4,sebastian
0,pressurizing
8,unabashedly
0,550cal
0,iratated
1,aspen
0,unvalued
0,thinnking
0,grouponized
839,creative
2,impulsively
17,pondered
0,shrivelled
0,urky
0,unequipped
0,unfrozed
0,noneventful
0,oscillating
0,rooked
0,colled
1,capacious
0,terraced
0,inconvienced
0,wroing
0,ovepriced
1,derailed
0,grouchily
0,underpriveldged
0,especialllly
0,horrrrible
74,stoked
1,fusian
0,kous
0,undermining
0,avalaible
0,furnishing
0,anticiapted
0,uneventfully
0,cursively
3,despised
2,appealingly
0,nonthreatening
0,sumptious
2,uncluttered
10592,absolutely
0,imaged
4,launching
14345,happy
13,underestimated
0,spurting
0,straggly
0,earblowing
0,detreating
2,denoting
0,hemisphere
4,perfumed
5,reinventing
0,comradely
1,dowsed
0,unmessupable
0,ovened
0,oacked
5,overstuffing
9,paneled
0,parroted
12,humbled
1,actuallly
3,rippling
0,asuming
0,underwhemled
18,unanimous
0,toching
0,evrrywhere
0,xtremely
0,forearmed
0,nicking
2,homogenous
0,triangled
2,dealed
0,triied
40,crumble
0,unappologetic
0,unsavably
1,heartbreakingly
10,dotted
110,accomodating
0,extremeeely
5,geographically
0,sandaled
0,serous
0,hydrating
0,certanly
6,superfluous
0,hazed
2,disastrously
0,rehearsing
0,inportantly
0,disappoining
2,lebonese
196,transported
115,addictive
210,truffled
0,distubring
8,dispersed
0,underwhelemed
0,reagarding
0,downtownian
0,nhuong
0,klanten
0,remered
0,currygeous
0,varly
6,beamed
0,disaoopinted
0,goaded
0,unresonable
0,disrespectable
7,doted
2,foaming
5,rousing
2,obsessively
0,suspending
0,harshing
0,ved
0,prolonging
0,oocasional
90,icing
0,temperatured
0,luckally
7,fullest
2,fretting
0,skedaddled
0,reining
0,pixilating
0,redunked
0,epecial
27,spiritual
155,portioned
3,itilian
0,specked
0,lengthened
1,bulldozed
0,feminded
0,playpen
0,noonish
0,truthinadvertising
0,vommitted
461,celebrated
0,greeeted
6,stashed
0,scrimped
0,deadening
0,gwenivere
0,standpointonly
0,undiscribable
4,drafted
10,assertive
0,caveated
0,hipstamatic
0,swooshed
3,anchoring
7,momentous
0,sumthing
50,studied
0,slowwwwly
0,flavoriing
0,solarize
8,sprouted
0,preservered
0,loacted
0,prominantly
0,dedicded
0,appartently
101,marvelous
0,ironical
0,flaged
4,traversing
9,relating
0,utililized
0,sponteneous
1,sunbathing
0,perished
0,nailpolish
0,cockfighting
0,comsumed
312,loving
0,mechanized
92,introducing
0,uncomplimentary
0,unsalveageable
1,tailing
0,odious
68,marbled
0,enjoyiing
0,rebounding
0,unnatentive
0,rediculious
0,obliviously
0,swasted
3,facilitating
0,inflamed
0,intorduced
14,harmonious
0,flavorous
0,perceivable
0,oversaucing
0,517meeting
0,defusing
0,drowining
0,postioned
0,rumliscious
0,especcially
1,unsauced
189,buttered
82,divided
0,vainly
0,confermed
76,thanking
2,promtly
19,optimal
7,orginal
0,noncarrying
4,livened
0,sandbagged
0,fellating
22,fueled
0,meddled
0,okest
0,unclaimed
1,standardly
0,narrating
2,supersonic
363,natural
76,conscious
0,rrrrrrrrroasted
1,inhabiting
1,ocassionally
0,unwarrentedly
0,thined
7,innocuous
0,liously
0,dyspeptic
0,extinsive
0,despotic
0,unneccessarily
10541,hot
1,anazing
2,highbacked
0,yalking
1,mused
20,modestly
0,uniformely
0,appaling
0,univited
10,indigenous
0,ammended
219,overpowering
0,corroded
0,scorsese
0,absloutly
0,smocked
48,maintaining
196,matched
0,ifinally
0,coastly
6,establishing
0,conatantly
1,fabian
0,othered
0,reacquainting
0,frezzing
